,b_loc,b_price_kr,b_price_m2_kr,b_sale_rslt,b_sale_date,amt_room,kvm_m2
119,Sverkilsvägen 16,4995000,30100,-3.0,2022-03-18,-1,166
120,Melldala Sjöråsen 1,4650000,25100,3.3,2022-03-17,-1,185
121,Höskullevägen 8,4540000,32400,1.0,2022-03-16,-1,140
122,Prästgatan 14,5200000,81300,-3.0,2022-03-16,-1,64
123,Knopstigen 2,3700000,49300,12.1,2022-03-15,3,75
124,Stora vägen 24,2675000,14400,-0.7,2022-03-12,6,186
125,Belleforsvägen 5,2350000,16800,7.1,2022-03-11,7,140
126,Egnahemsvägen 19,4620000,34200,-3.0,2022-03-10,-1,135
127,Hentorpsvägen 52,3560000,30400,27.1,2022-03-08,-1,117
128,Mjölnarevägen 4,3250000,27800,8.5,2022-03-08,-1,117
129,Stationsvägen 18D,2495000,15500,0.0,2022-03-07,6,161
130,Gamla Kungsvägen 81,4395000,31200,0.0,2022-03-07,-1,141
131,Skövdevägen 16,2350000,26700,-3.0,2022-03-04,-1,88
132,Örtvägen 3,5650000,39000,13.1,2022-03-01,-1,145
133,Våmbsvägen 18,3850000,27700,-3.0,2022-03-01,-1,139
134,Stallvägen 8,3650000,23000,-3.0,2022-03-01,-1,159
135,Hentorpsvägen 61,4475000,38900,4.1,2022-02-28,-1,115
136,Lingonstigen 33,4900000,45800,-2.0,2022-02-28,-1,107
137,Babordsstigen 14,1600000,29100,-2.0,2022-02-28,-1,55
138,Lavendelvägen 5,6550000,36600,10.1,2022-02-25,-1,179
139,Slagugglevägen 9,4300000,33100,-2.0,2022-02-25,-1,130
140,Siriusvägen 15,3600000,37100,5.9,2022-02-24,-1,97
141,Forslunds väg 22,4010000,38200,9.1,2022-02-23,-1,105
142,Billingsdalsvägen 10,4100000,22500,8.3,2022-02-18,6,182
143,Åkervägen 26,3200000,44400,6.8,2022-02-18,-1,72
144,Mangårdsvägen 25,6400000,37600,18.6,2022-02-16,7,170
145,Källegårdsvägen 8,3100000,34400,3.5,2022-02-16,-1,90
146,Slalomvägen 14,4145000,42300,0.0,2022-02-15,-1,98
147,Maskrosvägen 17,5100000,32300,-2.0,2022-02-10,6,158
148,Säter Lugnet,2200000,23900,10.3,2022-02-07,-1,92
149,Lagläsaregatan 8,4500000,39500,0.0,2022-02-07,-1,114
150,Götlunda Karlstorp 2,3250000,21200,22.6,2022-02-04,-1,153
151,Orrvägen 13,4550000,29900,5.8,2022-02-04,-1,152
152,Frostvägen 5,4150000,44100,18.7,2022-02-03,-1,94
153,Orkidévägen 1C,4300000,18700,2.5,2022-02-01,-1,230
154,Rådene Lars Arvidsgården,3700000,29800,-2.6,2022-02-01,-1,124
155,Törnsångarvägen 7,2500000,25000,13.9,2022-02-01,-1,100
156,Fredriksbergsvägen 157,2400000,17900,9.3,2022-01-31,6,134
157,Vårfrugatan 7,6650000,34800,2.3,2022-01-31,-1,191
158,Lövkullevägen 17,4325000,21800,23.6,2022-01-28,-1,198
159,Snövägen 14,3595000,29500,0.0,2022-01-28,-1,122
160,Blåbärsstigen 26,4000000,38800,-10.1,2022-01-27,-1,103
161,Källbäcksvägen 8,4400000,38900,15.9,2022-01-24,-1,113
162,Flugvägen 12E,3000000,22600,15.6,2022-01-22,4,133
163,Prästgatan 14,5200000,32300,-5.4,2022-01-20,6,161
164,Kapellgårdsgatan 3,5000000,32100,-1.0,2022-01-14,5,156
165,Högklintsvägen 14,6900000,36300,20.0,2022-01-14,-1,190
166,Sveagatan 13,5400000,30000,-1.0,2022-01-14,-1,180
167,Stenbocksvägen 18,6500000,30400,-1.0,2022-01-14,-1,214
168,Segerstorpsvägen 40,4950000,31700,-1.0,2022-01-14,-1,156
169,Pilvägen 6,2560000,34100,-1.0,2022-01-11,-1,75
170,Berg Högsböla 1,5100000,23200,13.3,2022-01-10,-1,220
171,Alvägen 4,2350000,22600,42.9,2022-01-10,-1,104
172,Ringstigen 11,2500000,27800,0.2,2022-01-10,-1,90
173,Vristulven Sjöberga,950000,7600,0.0,2022-01-07,6,125
174,Åkleby Gård,2600000,18800,8.6,2022-01-07,-1,138
