,b_loc,b_price_kr,b_sale_rslt,b_sale_date,ant_rum,kvm_kr_m2,kv_m
82,Guldvägen 2,4000000,-4.0,2022-04-26,4,40400,99
83,Folkungagatan 28,3400000,-2.9,2022-04-25,4,28800,118
84,Alvägen 3,2900000,16.7,2022-04-25,-1,24200,120
85,Norrgatan 1,3695000,0.0,2022-04-24,6,23500,157
86,Kaplansgatan 6,4300000,-3.9,2022-04-20,6,23900,180
87,Sveagatan 17,5425000,10.8,2022-04-14,5,41400,131
88,Åkleby Annehill 1,2550000,16.7,2022-04-14,4,27700,92
89,Galoppvägen 10,3550000,1.6,2022-04-14,-1,24800,143
90,Tallstigen 7,1260000,-23.6,2022-04-13,-1,13300,95
91,Granängsvägen 23,2900000,-4.0,2022-04-13,-1,23000,126
92,Karl Magnussons väg 26,7100000,5.3,2022-04-08,-1,34600,205
93,Stjärnvägen 13,3800000,-13.3,2022-04-07,5,25900,147
94,Högklintsvägen 5,5990000,0.7,2022-04-06,-1,34400,174
95,Solhagavägen 2,3275000,-4.0,2022-04-06,-1,33800,97
96,Gamla Törebodavägen Espelund,5150000,-4.0,2022-04-05,-1,39600,130
97,Djursätra Solsäter,1495000,7.2,2022-04-04,-1,10300,145
98,Varola Missionskyrkan,1500000,-4.0,2022-04-04,-1,7500,200
99,Gröna vägen 21,4750000,10.5,2022-04-01,5,38300,124
100,Gärdesvägen 5,2950000,18.2,2022-04-01,6,26300,112
101,Rödegårdsvägen 20,4350000,10.8,2022-04-01,-1,23400,186
102,Högklintsvägen 9,7650000,-1.7,2022-04-01,-1,31900,240
103,Flugsnapparvägen 5,3000000,-4.0,2022-04-01,-1,18600,161
104,Torpemad Jennetorp,250000,-4.0,2022-04-01,-1,2900,85
105,Tåstorp Västergården,2200000,-4.0,2022-04-01,-1,14700,150
106,Binneberg Missionshuset,2000000,-4.0,2022-04-01,-1,13900,144
107,Duvstigen 3,4050000,8.0,2022-03-31,5,31600,128
108,Kamomillvägen 12,4450000,-3.0,2022-03-31,5,29300,152
109,Robin Granes väg 10,4300000,13.3,2022-03-30,-1,36800,117
110,Forsby Nylund,3625000,-3.0,2022-03-29,5,31300,116
111,Kärleksstigen 17,2350000,-10.5,2022-03-29,-1,14000,168
112,Smedjevägen 10,4100000,-3.0,2022-03-28,5,34700,118
113,Säter Prästängen 1,1820000,30.5,2022-03-28,2,42300,43
114,Ringstigen 2,3550000,9.2,2022-03-24,5,42300,84
115,Kärleksstigen 9,3360000,16.1,2022-03-23,-1,20700,162
116,Nässelvägen 3,4700000,-3.0,2022-03-23,-1,24500,192
117,Kryddvägen 1,6100000,10.9,2022-03-19,6,36700,166
118,Vadsbovägen 10,1850000,9.5,2022-03-18,-1,17300,107
119,Sverkilsvägen 16,4995000,-3.0,2022-03-18,-1,30100,166
120,Melldala Sjöråsen 1,4650000,3.3,2022-03-17,-1,25100,185
121,Höskullevägen 8,4540000,1.0,2022-03-16,-1,32400,140
122,Prästgatan 14,5200000,-3.0,2022-03-16,-1,81300,64
123,Knopstigen 2,3700000,12.1,2022-03-15,3,49300,75
124,Stora vägen 24,2675000,-0.7,2022-03-12,6,14400,186
125,Belleforsvägen 5,2350000,7.1,2022-03-11,7,16800,140
126,Egnahemsvägen 19,4620000,-3.0,2022-03-10,-1,34200,135
127,Hentorpsvägen 52,3560000,27.1,2022-03-08,-1,30400,117
128,Mjölnarevägen 4,3250000,8.5,2022-03-08,-1,27800,117
129,Stationsvägen 18D,2495000,0.0,2022-03-07,6,15500,161
130,Gamla Kungsvägen 81,4395000,0.0,2022-03-07,-1,31200,141
131,Skövdevägen 16,2350000,-3.0,2022-03-04,-1,26700,88
132,Örtvägen 3,5650000,13.1,2022-03-01,-1,39000,145
133,Våmbsvägen 18,3850000,-3.0,2022-03-01,-1,27700,139
134,Stallvägen 8,3650000,-3.0,2022-03-01,-1,23000,159
135,Hentorpsvägen 61,4475000,4.1,2022-02-28,-1,38900,115
136,Lingonstigen 33,4900000,-2.0,2022-02-28,-1,45800,107
137,Babordsstigen 14,1600000,-2.0,2022-02-28,-1,29100,55
138,Lavendelvägen 5,6550000,10.1,2022-02-25,-1,36600,179
139,Slagugglevägen 9,4300000,-2.0,2022-02-25,-1,33100,130
140,Siriusvägen 15,3600000,5.9,2022-02-24,-1,37100,97
141,Forslunds väg 22,4010000,9.1,2022-02-23,-1,38200,105
142,Billingsdalsvägen 10,4100000,8.3,2022-02-18,6,22500,182
143,Åkervägen 26,3200000,6.8,2022-02-18,-1,44400,72
144,Mangårdsvägen 25,6400000,18.6,2022-02-16,7,37600,170
145,Källegårdsvägen 8,3100000,3.5,2022-02-16,-1,34400,90
146,Slalomvägen 14,4145000,0.0,2022-02-15,-1,42300,98
147,Maskrosvägen 17,5100000,-2.0,2022-02-10,6,32300,158
148,Säter Lugnet,2200000,10.3,2022-02-07,-1,23900,92
149,Lagläsaregatan 8,4500000,0.0,2022-02-07,-1,39500,114
150,Götlunda Karlstorp 2,3250000,22.6,2022-02-04,-1,21200,153
151,Orrvägen 13,4550000,5.8,2022-02-04,-1,29900,152
152,Frostvägen 5,4150000,18.7,2022-02-03,-1,44100,94
153,Orkidévägen 1C,4300000,2.5,2022-02-01,-1,18700,230
154,Rådene Lars Arvidsgården,3700000,-2.6,2022-02-01,-1,29800,124
155,Törnsångarvägen 7,2500000,13.9,2022-02-01,-1,25000,100
156,Fredriksbergsvägen 157,2400000,9.3,2022-01-31,6,17900,134
157,Vårfrugatan 7,6650000,2.3,2022-01-31,-1,34800,191
158,Lövkullevägen 17,4325000,23.6,2022-01-28,-1,21800,198
159,Snövägen 14,3595000,0.0,2022-01-28,-1,29500,122
160,Blåbärsstigen 26,4000000,-10.1,2022-01-27,-1,38800,103
161,Källbäcksvägen 8,4400000,15.9,2022-01-24,-1,38900,113
162,Flugvägen 12E,3000000,15.6,2022-01-22,4,22600,133
163,Prästgatan 14,5200000,-5.4,2022-01-20,6,32300,161
