,b_loc,b_size,b_price,b_pr_m2,b_sale_rslt,b_sale_date
141,Forslunds väg 22,"None, 105 m²",4 010 000 kr,38 200 kr/m²,9.1,2022-02-23
142,Billingsdalsvägen 10,"6 rum, 182½ m²",4 100 000 kr,22 500 kr/m²,8.3,2022-02-18
143,Åkervägen 26,"None, 72 m²",3 200 000 kr,44 400 kr/m²,6.8,2022-02-18
144,Mangårdsvägen 25,"7 rum, 170 m²",6 400 000 kr,37 600 kr/m²,18.6,2022-02-16
145,Källegårdsvägen 8,"None, 90 m²",3 100 000 kr,34 400 kr/m²,3.5,2022-02-16
146,Slalomvägen 14,"None, 98 m²",4 145 000 kr,42 300 kr/m²,0,2022-02-15
147,Maskrosvägen 17,"6 rum, 158 m²",5 100 000 kr,32 300 kr/m²,-02,2022-02-10
148,Säter Lugnet,"None, 92 m²",2 200 000 kr,23 900 kr/m²,10.3,2022-02-07
149,Lagläsaregatan 8,"None, 114 m²",4 500 000 kr,39 500 kr/m²,0,2022-02-07
150,Götlunda Karlstorp 2,"None, 153 m²",3 250 000 kr,21 200 kr/m²,22.6,2022-02-04
151,Orrvägen 13,"None, 152 m²",4 550 000 kr,29 900 kr/m²,5.8,2022-02-04
152,Frostvägen 5,"None, 94 m²",4 150 000 kr,44 100 kr/m²,18.7,2022-02-03
153,Orkidévägen 1C,"None, 230 m²",4 300 000 kr,18 700 kr/m²,2.5,2022-02-01
154,Rådene Lars Arvidsgården,"None, 124 m²",3 700 000 kr,29 800 kr/m²,-2.6,2022-02-01
155,Törnsångarvägen 7,"None, 100 m²",2 500 000 kr,25 000 kr/m²,13.9,2022-02-01
156,Fredriksbergsvägen 157,"6 rum, 134 m²",2 400 000 kr,17 900 kr/m²,9.3,2022-01-31
157,Vårfrugatan 7,"None, 191 m²",6 650 000 kr,34 800 kr/m²,2.3,2022-01-31
158,Lövkullevägen 17,"None, 198 m²",4 325 000 kr,21 800 kr/m²,23.6,2022-01-28
159,Snövägen 14,"None, 122 m²",3 595 000 kr,29 500 kr/m²,0,2022-01-28
160,Blåbärsstigen 26,"None, 103 m²",4 000 000 kr,38 800 kr/m²,-10.1,2022-01-27
161,Källbäcksvägen 8,"None, 113 m²",4 400 000 kr,38 900 kr/m²,15.9,2022-01-24
162,Flugvägen 12E,"4 rum, 133 m²",3 000 000 kr,22 600 kr/m²,15.6,2022-01-22
163,Prästgatan 14,"6 rum, 161 m²",5 200 000 kr,32 300 kr/m²,-5.4,2022-01-20
